phi,sigma,total_time,max_ac225_yield,time_to_peak
205370508607659.8,1e-24,27.719728142401145,3.170691501165479e+17,27.719728142401145
10253205652127.139,1e-24,35.312379337055475,2.537826549446066e+16,35.312379337055475
162873472336068.38,1e-24,402.7260873211135,2.9832925312488165e+19,402.7260873211135
29998921479442.4,1e-24,426.21033303230575,5.947295916139655e+18,426.21033303230575
13015590621444.562,1e-24,402.4722882844213,2.3821005221592945e+18,402.4722882844213
717118390861161.2,1e-24,388.3331155611465,1.2470085485312421e+20,388.3331155611465
249024208241179.8,1e-24,420.6103071411377,4.846783751739726e+19,420.6103071411377
12031024164834.988,1e-24,108.87323425233714,2.5182347858126784e+17,108.87323425233714
17776545083782.824,1e-24,257.2201851945634,1.6506055337899924e+18,257.2201851945634
309297391014556.6,1e-24,318.7058038424354,4.01790122794924e+19,318.7058038424354
503804682372439.6,1e-24,86.05436629613453,6.829685087890242e+18,86.05436629613453
294606404539083.0,1e-24,104.59033052576301,5.729202359488725e+18,104.59033052576301
34795053022795.3,1e-24,357.85330166783893,5.376481556054878e+18,357.85330166783893
912871334478342.6,1e-24,309.6563669287641,1.1344739382671301e+20,309.6563669287641
12852885243670.438,1e-24,311.9913952644911,1.616418372654886e+18,311.9913952644911
12153492663469.049,1e-24,443.2313985697404,2.5421244841096177e+18,443.2313985697404
262516478726943.47,1e-24,94.83264474702658,4.262251498560422e+18,94.83264474702658
15256046777200.63,1e-24,99.9312821513563,2.72850239512462e+17,99.9312821513563
912124999680051.5,1e-24,234.69471480466,7.295295883188201e+19,234.69471480466
369966070357591.06,1e-24,321.84008763281065,4.8779367553104265e+19,321.84008763281065
139580998232563.8,1e-24,81.11382478587436,1.694449043618798e+18,81.11382478587436
779917934317890.9,1e-24,157.6578899322118,3.1707302279247385e+19,157.6578899322118
143230145009994.22,1e-24,352.8902128486424,2.1679925443742007e+19,352.8902128486424
198822857163482.66,1e-24,470.891260750804,4.5096689110541435e+19,470.891260750804
19809703706058.957,1e-24,259.0928418390016,1.8609643973120535e+18,259.0928418390016
64278951118241.72,1e-24,242.34267744648287,5.419389065571044e+18,242.34267744648287
17315500626010.521,1e-24,75.70635883765502,1.8469119577030445e+17,75.70635883765502
35987451414747.34,1e-24,159.30525584280733,1.490187195624941e+18,159.30525584280733
71747442910592.33,1e-24,309.38389804794787,8.907538907047419e+18,309.38389804794787
185890944838426.06,1e-24,211.7873393269294,1.2542810567169341e+19,211.7873393269294
65700128481733.16,1e-24,116.63797808151136,1.5591331555927567e+18,116.63797808151136
150180137223429.88,1e-24,165.35004654544656,6.636732213302269e+18,165.35004654544656
11806459143103.104,1e-24,215.01602163686158,8.170780647406952e+17,215.01602163686158
88769822233090.94,1e-24,120.54050542006338,2.2361513212888474e+18,120.54050542006338
139609787561183.95,1e-24,287.2282312116413,1.5445242652410135e+19,287.2282312116413
